Century Federal Credit Union,https://pcu.cenfedcu.org/scripts/isaofx.dll,241075056,CenturyFederalCU
Charles Schwab Bank%COMMA% N.A.,https://ofx.schwab.com/bankcgi_dev/ofx_server,101,ISC
Chase (credit card),https://ofx.chase.com,10898,B1
Chesterfield Federal Credit Union,https://chf.usersonlnet.com/scripts/isaofx.dll,251480327,Chesterfield Employees FCU
Chicago Patrolmens FCU,https://chp.usersonlnet.com/scripts/isaofx.dll,271078146,Chicago Patrolmens CU
Citadel FCU,https://pcu.citadelfcu.org/scripts/isaofx.dll,citadel,CitadelFCU
Citi Credit Card,https://secureofx2.bankhost.com/citi/cgi-forte/ofx_rt?servicename=ofx_rt&pagename=ofx,24909,Citigroup
Citizens Bank - Business,https://www.oasis.cfree.com/04639.ofxgp,4639,CheckFree OFX
Citizens Bank - Consumer,https://www.oasis.cfree.com/0CTZBK.ofxgp,CTZBK,CheckFree OFX
Clearview Federal Credit Union,https://www.pcu.clearviewfcu.org/scripts/isaofx.dll,243083237,Clearview Federal Credit Union
Collegedale Credit Union,https://www.netit.financial-net.com/ofx,35GFA,CollegedaleCU
Colonial Bank,https://www.oasis.cfree.com/1046.ofxgp,1046,Colonial Banc Group
Columbia Credit Union,https://ofx.columbiacu.org/scripts/isaofx.dll,323383349,Columbia Credit Union
Comerica Bank,https://www.oasis.cfree.com/5601.ofxgp,5601,Comerica
Commerce Bank NJ%COMMA% PA%COMMA% NY&DE,https://www.commerceonlinebanking.com/scripts/serverext.dll,1001,CommerceBank
Commerce Bank%COMMA% NA,https://www.oasis.cfree.com/4001.ofxgp,4001,Commerce Bank NA
Commercial Federal Bank,https://www.oasis.cfree.com/4801.ofxgp,4801,CommercialFederalBank
Community First Credit Union,https://pcu.communityfirstcu.org/scripts/isaofx.dll,275982801,Community First Credit Union
Community Resource Bank,https://www.cnbinternet.com/OFXServer/ofxsrvr.dll,091917160,CNB
COMSTAR FCU,https://pcu.comstarfcu.org/scripts/isaofx.dll,255074988,Comstar Federal Credit Union
Continental Federal Credit Union,https://cnt.usersonlnet.com/scripts/isaofx.dll,322077559,Continenetal FCU
Credit Union 1 - IL,https://pcu.creditunion1.org/scripts/isaofx.dll,271188081,Credit Union 1
Credit Union ONE,https://cuhome.cuone.org/ofx/ofx.dll,14412,Credit Union ONE
Day Air Credit Union,https://pcu.dayair.org/scripts/isaofx.dll,242277808,Day Air Credit Union
Delta Community Credit Union,https://appweb.deltacommunitycu.com/ofxroot/directtocore.asp,3328,decu.org
Denali Alaskan FCU,https://remotebanking.denalifcu.com/ofx/ofx.dll,1,Denali Alaskan FCU
Desert Schools Federal Credit Union,https://epal.desertschools.org/scripts/serverext.dll,1001,DSFCU
Discover Card,https://ofx.discovercard.com,7101,Discover Financial Services
Dominion Credit Union,https://dom.usersonlnet.com/scripts/isaofx.dll,251082644,Dominion Credit Union
DuPont Community Credit Union,https://pcu.mydccu.com/scripts/isaofx.dll,251483311,DuPont Community Credit Union
E*TRADE,https://ofx.etrade.com/cgi-ofx/etradeofx,fldProv_mProvBankId,fldProv_mId
Eastern Bank,https://www.oasis.cfree.com/6201.ofxgp,6201,Eastern Bank
EDS Credit Union,https://eds.usersonlnet.com/scripts/isaofx.dll,311079474,EDS CU
Educational Employees CU Fresno,https://www.eecuonline.org/scripts/isaofx.dll,321172594,Educational Employees C U
Edward Jones,https://ofx.edwardjones.com,823,Edward Jones
Envision Credit Union,https://pcu.envisioncu.com/scripts/isaofx.dll,263182558,Envision Credit Union
FAA Technical Center FCU,https://ftc.usersonlnet.com/scripts/isaofx.dll,231277440,FAA Technical Center FCU
Fall River Municipal CU,https://fal.usersonlnet.com/scripts/isaofx.dll,211382591,Fall River Municipal CU
Fidelity Investments,https://ofx.fidelity.com/ftgw/OFX/clients/download,7776,fidelity.com
Fidelity NetBenefits,https://nbofx.fidelity.com/netbenefits/ofx/download,8288,nbofx.fidelity.com
Fifth Third Bancorp,https://banking.53.com/ofx/OFXServlet,5829,Fifth Third Bank
Finance Center FCU (IN),https://sec.fcfcu.com/scripts/isaofx.dll,274073876,Finance Center FCU
Financial Center CU,https://fin.usersonlnet.com/scripts/isaofx.dll,321177803,Fincancial Center Credit Union
First Alliance Credit Union,https://fia.usersonlnet.com/scripts/isaofx.dll,291975481,First Alliance Credit Union
First Citizens Bank - NC%COMMA% VA%COMMA% WV,https://www.oasis.cfree.com/5013.ofxgp,5013,First Citizens Bank NC%COMMA% VA%COMMA% WV
First Commonwealth FCU,https://pcu.firstcomcu.org/scripts/isaofx.dll,231379199,FirstCommonwealthFCU
First Community FCU,https://pcu.1stcomm.org/scripts/isaofx.dll,272483633,FirstCommunityFCU
First Florida Credit Union,https://pcu2.gecuf.org/scripts/isaofx.dll,263079014,First Llorida Credit Union
First Internet Bank of Indiana,https://ofxdi.diginsite.com/cmr/cmr.ofx,074014187,DI
First Southwest Company,https://fswofx.automatedfinancial.com,7048,AFS
First Tech Credit Union,https://ofx.firsttechcu.com,2243,First Tech Credit Union
Firstar,https://www.oasis.cfree.com/1255.ofxgp,1255,Firstar
FirstBank of Colorado,https://www.efirstbankpfm.com/ofx/OFXServlet,FirstBank,FBDC
FivePoint Credit Union,https://tfcu-nfuse01.texacocommunity.org/internetconnector/isaofx.dll,313187571,FivePoint Credit Union
Florida Telco CU,https://ppc.floridatelco.org/scripts/isaofx.dll,FTCU,FloridaTelcoCU
Fort Knox Federal Credit Union,https://fcs1.fkfcu.org/scripts/isaofx.dll,283978425,Fort Knox Federal Credit Union
Fort Stewart GeorgiaFCU,https://fsg.usersonlnet.com/scripts/isaofx.dll,261271364,Fort Stewart FCU
Fremont Bank,https://ofx.fremontbank.com/OFXServer/FBOFXSrvr.dll,121107882,Fremont Bank
GCS Federal Credit Union,https://pcu.mygcscu.com/scripts/isaofx.dll,281076853,Granite City Steel cu
Hawaii State FCU,https://hse.usersonlnet.com/scripts/isaofx.dll,321379041,Hawaii State FCU
Hawaiian Tel Federal Credit Union,https://htl.usersonlnet.com/scripts/isaofx.dll,321379070,Hawaiian Tel FCU
Hawthorne Credit Union,https://hwt.usersonlnet.com/scripts/isaofx.dll,271979193,Hawthorne Credit Union
Hewitt Associates LLC,https://seven.was.hewitt.com/eftxweb/access.ofx,242,hewitt.com
HFS Federal Credit Union,https://hfs.usersonlnet.com/scripts/isaofx.dll,321378660,HFS Federal Credit Union
Home Federal Savings Bank(MN/IA),https://ofx1.evault.ws/ofxserver/ofxsrvr.dll,291270050,VOneTwentySevenG
Huntington National Bank,https://onlinebanking.huntington.com/scripts/serverext.dll,3701,Huntington
ING DIRECT (Canada),https://ofx.ingdirect.ca,061400152,INGDirectCanada
IronStone Bank,https://www.oasis.cfree.com/5012.ofxgp,5012,Atlantic States Bank
JPMorgan Chase Bank,https://www.oasis.cfree.com/1601.ofxgp,1601,Chase Bank
JPMorgan Chase Bank (Texas),https://www.oasis.cfree.com/5301.ofxgp,5301,Chase Bank of Texas
JPMorgan Retirement Plan Services,https://ofx.retireonline.com/eftxweb/access.ofx,6313,JPMORGAN
Kennedy Space Center FCU,https://www.pcu.kscfcu.org/scripts/isaofx.dll,263179532,Kennedy Space Center FCU
KeyBank,https://www.oasis.cfree.com/KeyBank.ofxgp,5901,KeyBank
Kinecta Federal Credit Union,https://ofx.kinecta.org/OFXServer/ofxsrvr.dll,322278073,KINECTA
Kirtland Federal Credit Union,https://pcu.kirtlandfcu.org/scripts/isaofx.dll,307070050,Kirtland Federal Credit Union
Las Colinas FCU,https://las.usersonlnet.com/scripts/isaofx.dll,311080573,Las Colinas Federal CU
LaSalle Bank Midwest,https://www.oasis.cfree.com/1101.ofxgp,1101,LaSalleBankMidwest
LaSalle Bank NA,https://www.oasis.cfree.com/6501.ofxgp,6501,LaSalle Bank NA
Los Alamos National Bank,https://www.lanb.com/ofx/ofxrelay.dll,107001012,LANB
Mayo Employees Federal Credit Union,https://homebank.mayocreditunion.org/ofx/ofx.dll,291975478,Mayo Employees FCU
McCoy Federal Credit Union,https://www.mccoydirect.org/scripts/isaofx.dll,263179956,McCoy Federal Credit Union
Mellon Bank,https://www.oasis.cfree.com/1226.ofxgp,1226,Mellon Bank
Mercantile Brokerage Services,https://ofx.netxclient.com/cgi/OFXNetx,011,Mercantile Brokerage
Merck Sharp&Dohme FCU,https://msd.usersonlnet.com/scripts/isaofx.dll,231386645,MERCK%COMMA% SHARPE&DOHME FCU
Merrill Lynch&Co.%COMMA% Inc.,https://taxcert.mlol.ml.com/eftxweb/access.ofx,5550,Merrill Lynch&Co.%COMMA% Inc.
Morgan Stanley ClientServ,https://ofx.morganstanleyclientserv.com/ofx/ProfileMSMoney.ofx,1235,msdw.com
Motorola Employees Credit Union,https://mecuofx.mecunet.org/scripts/isaofx.dll,271984311,Motorola Employees CU
MTC Federal Credit Union,https://mic.usersonlnet.com/scripts/isaofx.dll,053285173,MTC Federal Credit Union
Municipal Employees Credit Union of Baltimore%COMMA% Inc.,https://mec.usersonlnet.com/scripts/isaofx.dll,252076468,Municipal ECU of Baltimore%COMMA%Inc.
myStreetscape,https://ofx.ibgstreetscape.com:443,7784,Fidelity
Nantucket Bank,https://ofx.onlinencr.com/scripts/serverext.dll,466,Nantucket
National City,https://ofx.nationalcity.com/ofx/OFXConsumer.aspx,5860,NATIONAL CITY
National Penn Bank,https://www.oasis.cfree.com/6301.ofxgp,6301,National Penn Bank
Navy Army Federal Credit Union,https://mybranch.navyarmyfcu.com/scripts/isaofx.dll,111904503,Navy Army Federal Credit Union
Nevada Federal Credit Union,https://ssl4.nevadafederal.org/ofxdirect/ofxrqst.aspx,10888,PSI
Nevada State Bank - New,https://quicken.metavante.com/ofx/OFXServlet,1121,295-3
North Carolina State Employees' Credit Union,https://onlineaccess.ncsecu.org/secuofx/secu.ofx,1001,SECU
NorthEast Alliance FCU,https://nea.usersonlnet.com/scripts/isaofx.dll,221982130,NorthEast Alliance FCU
Northern Trust - Banking,https://www3883.ntrs.com/nta/ofxservlet,5804,ORG
Northern Trust - Investments,https://www3883.ntrs.com/nta/ofxservlet?accounttypegroup=INV,6028,Northern Trust Investments
Novartis Federal Credit Union,https://cib.usersonlnet.com/scripts/isaofx.dll,221278556,Novartis FCU
NW Preferred Federal Credit Union,https://nwf.usersonlnet.com/scripts/isaofx.dll,323076575,NW Preferred FCU
OCTFCU,https://ofx.octfcu.org,17600,OCTFCU
Old National Bank,https://www.ofx.oldnational.com/ofxpreprocess.asp,11638,ONB
Patelco CU,https://ofx.patelco.org,2000,Patelco Credit Union
Patriots Federal Credit Union,https://pat.usersonlnet.com/scripts/isaofx.dll,322281963,PAT FCU
Peninsula Community Federal Credit Union,https://mas.usersonlnet.com/scripts/isaofx.dll,325182344,Peninsula Credit Union
Penson Financial Services,https://ofx.penson.com,10780,Penson Financial Services Inc
Picatinny Federal Credit Union,https://banking.picacreditunion.com/scripts/isaofx.dll,221275216,Picatinny Federal Credit Union
PNC Bank,https://www.oasis.cfree.com/4501.ofxgp,4501,ISC
Prudential Retirement,https://ofx.prudential.com/eftxweb/EFTXWebRedirector,1271,Prudential Retirement Services
PSECU,https://ofx.psecu.com/servlet/OFXServlet,54354,Teknowledge
Red Crown Federal Credit Union,https://cre.usersonlnet.com/scripts/isaofx.dll,303986148,Red Crown FCU
Redstone Federal Credit Union,https://remotebanking.redfcu.org/ofx/ofx.dll,2143,Harland Financial Solutions
Regions Bank,https://ofx.morgankeegan.com/begasp/directtocore.asp,243,regions.com
Reliant Community Credit Union,https://wct.usersonlnet.com/scripts/isaofx.dll,222382438,W.C.T.A Federal Credit Union
SAC FEDERAL CREDIT UNION,https://pcu.sacfcu.com/scripts/isaofx.dll,091901480,SAC Federal CU
Safe Credit Union - OFX Beta,https://ofxcert.diginsite.com/cmr/cmr.ofx,321173742,DI
SafeAmerica Credit Union,https://saf.usersonlnet.com/scripts/isaofx.dll,321171757,SafeAmerica Credit Union
Salt Lake City Credit Union,https://slc.usersonlnet.com/scripts/isaofx.dll,324079186,Salt Lake City Credit Union
Schools Financial Credit Union,https://ofx.schools.org/TekPortalOFX/servlet/TP_OFX_Controller,90001,Teknowledge
Scottrade%COMMA% Inc.,https://ofxstl.scottsave.com,777,Scottrade
Securities America,https://ofx.ibgstreetscape.com:443,7784,Fidelity
Security 1st FCU,https://sec.usersonlnet.com/scripts/isaofx.dll,314986292,Security 1st FCU
ShareBuilder,https://ofx.sharebuilder.com,5575,ShareBuilder
Sierra Central Credit Union,https://www.sierracpu.com/scripts/isaofx.dll,321174770,Sierra Central Credit Union
Signal Financial Federal Credit Union,https://webpb.sfonline.org/scripts/isaofx.dll,255075495,Washington Telephone FCU
Silver State Schools CU,https://www.silverstatecu.com/OFXServer/ofxsrvr.dll,322484265,SSSCU
Siouxland Federal Credit Union,https://sio.usersonlnet.com/scripts/isaofx.dll,304982235,SIOUXLAND FCU
Smith Barney - Transactions,https://www.oasis.cfree.com/3201.ofxgp,3201,SmithBarney
Southeastern CU,https://moo.usersonlnet.com/scripts/isaofx.dll,261271500,Southeastern FCU
Southwest Airlines FCU,https://www.swacuflashbp.org/scripts/isaofx.dll,311090673,Southwest Airlines EFCU
Spectrum Connect/Reich&Tang,https://www.oasis.cfree.com/6510.ofxgp,6510,SpectrumConnect
Summit Credit Union (WI),https://branch.summitcreditunion.com/scripts/isaofx.dll,275979034,Summit Credit Union
SunTrust,https://www.oasis.cfree.com/2801.ofxgp,2801,SunTrust PC Banking
TD Banknorth,https://secure.tdbanknorth.com/scripts/serverext.dll ,1001,Banknorth
Technology Credit Union - CA,https://webbranchofx.techcu.com/TekPortalOFX/servlet/TP_OFX_Controller,11257,Tech CU
Texas Dow Employees Credit Union,https://allthetime.tdecu.org/scripts/isaofx.dll,313185515,TexasDow
Texas State Bank - McAllen,https://www.tsb-a.com/OFXServer/ofxsrvr.dll,114909013,Texas State Bank
The Mechanics Bank,https://ofx.mechbank.com/OFXServer/ofxsrvr.dll,121102036,TMB
The Queen's Federal Credit Union,https://que.usersonlnet.com/scripts/isaofx.dll,321379504,The Queens Federal Credit Union
Think Federal Credit Union,https://ofx.ibmcu.com,291975465,IBMCU
Tri Boro Federal Credit Union,https://tri.usersonlnet.com/scripts/isaofx.dll,243382747,Tri Boro Federal Credit Union
Truliant FCU,https://ofxdi.diginsite.com/cmr/cmr.ofx,253177832,DI
U.S. First FCU,https://uff.usersonlnet.com/scripts/isaofx.dll,321076289,US First FCU
UBS Financial Services Inc.,https://ofx1.ubs.com/eftxweb/access.ofx,7772,Intuit
UMB Bank,https://pcbanking.umb.com/hs_ofx/hsofx.dll,0,UMB
Union Bank of California,https://www.oasis.cfree.com/2901.ofxgp,2901,Union Bank of California
United Teletech Financial,https://ofxcore.digitalinsight.com:443/servlet/OFXCoreServlet,221276011,DI
University Credit Union,https://umc.usersonlnet.com/scripts/isaofx.dll,267077850,University Credit Union
University Federal Credit Union,https://OnDemand.ufcu.org/scripts/isaofx.dll,314977405,Univerisity FCU
US Bank,https://www.oasis.cfree.com/1401.ofxgp,1401,US Bank
USAA Federal Savings Bank,https://service2.usaa.com/ofx/OFXServlet,24591,USAA
Utah Community Credit Union,https://ofx.uccu.com/scripts/isaofx.dll,324377820,Utah Community Credit Union
UW Credit Union,https://ofx.uwcu.org/serverext.dll,1001,UWCU
Vantage Credit Union,https://secure2.eecu.com/scripts/isaofx.dll,281081479,EECU-St. Louis
Virginia Educators Credit Union,https://www.vecumoneylink.org/scripts/isaofx.dll,251481355,Virginia Educators CU
VISA Information Source,https://vis.informationmanagement.visa.com/eftxweb/access.ofx,10942,VISA
Wachovia Bank,https://pfmpw.wachovia.com/cgi-forte/fortecgi?servicename=ofx&pagename=PFM,4309,Wachovia
Weitz Funds,https://www3.financialtrans.com/tf/OFXServer?tx=OFXController&cz=702110804131918&cl=52204081925,weitz.com,weitz.com
Wells Fargo,https://www.oasis.cfree.com/3001.ofxgp,3001,Wells Fargo
Wells Fargo Advisor,https://ofx.wellsfargoadvantagefunds.com/eftxWeb/Access.ofx,1030,strong.com
Wells Fargo Investments%COMMA% LLC,https://invmnt.wellsfargo.com/inv/directConnect,10762,wellsfargo.com
Wells Fargo Trust-Investment Mgt,https://trust.wellsfargo.com/trust/directConnect,6955,Wells Fargo Trust
Windward Community FCU,https://wwc.usersonlnet.com/scripts/isaofx.dll,321380315,Windward Community FCU
Wright Patman Congressional FCU,https://www.congressionalonline.org/scripts/isaofx.dll,254074345,Wright Patman Congressional FCU
WSECU,https://ssl3.wsecu.org/ofxserver/ofxsrvr.dll,325181028,WSECU
Yakima Valley Credit Union,https://secure1.yvcu.org/scripts/isaofx.dll,325183796,Yakima Valley Credit Union
Zions Bank,https://quicken.metavante.com/ofx/OFXServlet,1115,244-3
zWachovia,https://www.oasis.cfree.com/4301.ofxgp,4301,Wachovia
